dataset,seed,method,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae,rmse,node_rmse_mean,node_rmse_max
ETTh1,0,DynVAR-Lasso Graph Ridge,1.0,0.005,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,STCG-v1 Graph Ridge,1.0,0.005,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,Persistence,0.25,0.005,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.005,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.25,0.005,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.005,1200,600,5,0.5419209443673856,0.7894574709320219,0.6766574528856578,1.6185988209760147
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.005,1200,600,5,0.5423374668910006,0.7857449929356982,0.676291659441314,1.6074537523443981
ETTh1,0,Persistence,0.5,0.005,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.005,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.005,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.005,1200,600,9,0.5576335464497819,0.8166156179356676,0.6967350733495138,1.6405367553052546
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.005,1200,600,9,0.5581360221199141,0.8176656813970672,0.6979775828699165,1.6405367553052546
ETTh1,0,Persistence,0.75,0.005,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.005,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.005,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.005,1200,600,14,0.5320062059467642,0.7880989811717021,0.6643516755380163,1.6581877236591558
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.005,1200,600,14,0.5301320750712736,0.7868154372946552,0.6621571143546024,1.6581877236591558
ETTh1,0,Persistence,1.0,0.005,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.005,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,1.0,0.005,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,1.0,0.005,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,STCG-v1 Graph Ridge,1.0,0.005,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,Persistence,0.25,0.01,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.01,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.25,0.01,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.01,300,150,5,0.5612714623116163,0.803490078643943,0.7058642180948066,1.4840948670437732
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.01,300,150,5,0.5612714623116163,0.803490078643943,0.7058642180948066,1.4840948670437732
ETTh1,0,Persistence,0.5,0.01,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.01,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.01,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.01,300,150,9,0.5598806999369588,0.8152986733681898,0.699037815888585,1.6468331435296013
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.01,300,150,9,0.5598806999369588,0.8152986733681898,0.699037815888585,1.6468331435296013
ETTh1,0,Persistence,0.75,0.01,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.01,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.01,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.01,300,150,14,0.5415215779435042,0.7984288320492292,0.6765819644950183,1.6611320870931592
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.01,300,150,14,0.5415215779435042,0.7984288320492292,0.6765819644950183,1.6611320870931592
ETTh1,0,Persistence,1.0,0.01,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.01,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
